library	celltype	biorep	protocol	re	crosslinking	biotynilatedBase	ligationVolume	totalReads	totalContacts
HIC056	IMR90 (CCL-186)	2	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"331634582"	"238042250"
HIC057	IMR90 (CCL-186)	1	dilution	HindIII	"1% FA 10min RT"	bio-dCTP	8ml	"147914631"	"115919855"
HIC058	HMEC (CC-2551)	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"456577383"	"330099360"
HIC059	HMEC (CC-2551)	2	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"8919249"	"6660201"
HIC060	HMEC (CC-2551)	2	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"16358597"	"12990428"
HIC061	HMEC (CC-2551)	2	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"20327054"	"16343168"
HIC062	HMEC (CC-2551)	2	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"19298780"	"15538115"
HIC063	HMEC (CC-2551)	2	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"16911615"	"13792032"
HIC064	HMEC (CC-2551)	3	dilution	HindIII	"1% FA 10min RT"	bio-dCTP	8ml	"530973902"	"403095885"
HIC065	NHEK (192627)	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"229995085"	"171515191"
HIC066	NHEK (192627)	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"306464833"	"196697990"
HIC067	NHEK (192627)	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"536747654"	"296686118"
HIC068	NHEK (192627)	2	dilution	HindIII	"1% FA 10min RT"	bio-dCTP	8ml	"274273148"	"205416646"
HIC069	K562 (CCL-243)	1	in situ	MboI	"1.3% FA 10min RT"	bio-dATP	1.2ml	"456757799"	"310243422"
HIC070	K562 (CCL-243)	1	in situ	MboI	"1.3% FA 10min RT"	bio-dATP	1.2ml	"591854553"	"389060442"
HIC071	K562 (CCL-243)	2	in situ	MboI	"1.3% FA 10min RT"	bio-dATP	1.2ml	"79905895"	"64453847"
HIC072	K562 (CCL-243)	2	in situ	MboI	"1.3% FA 10min RT"	bio-dATP	1.2ml	"79578049"	"52564216"
HIC073	K562 (CCL-243)	2	in situ	MboI	"1.3% FA 10min RT"	bio-dATP	1.2ml	"77353816"	"50840830"
HIC074	K562 (CCL-243)	2	in situ	MboI	"1.3% FA 10min RT"	bio-dATP	1.2ml	"80778733"	"65046110"
HIC075	KBM7	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"136881938"	"107869322"
HIC076	KBM7	2	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"332276798"	"239907532"
HIC077	KBM7	2	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"95822979"	"62928699"
HIC078	KBM7	2	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"294486683"	"203041031"
HIC079	KBM7	2	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"388468010"	"273166794"
HIC080	HUVEC	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"279338805"	"178241471"
HIC081	HUVEC	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"159625488"	"108747619"
HIC082	HUVEC	1	in situ	MboI	"NA"	bio-dATP	1.2ml	"293144695"	"173404405"
HIC083	HUVEC	1	dilution	HindIII	"1% FA 10min RT"	bio-dCTP	8ml	"160705827"	"111975794"
HIC084	HeLa	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"20968325"	"15161624"
HIC085	HeLa	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"260998415"	"161710832"
HIC086	HeLa	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"410229663"	"270101439"
HIC087	HeLa	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	0.6ml	"63173837"	"38766766"
